SOURCE,TARGET,TIME,TYPE,WEIGHT,SITE,lock_bool,high_bool,low_bool,ANTENNA,pre_dur,post_dur
J510,J510,9707471,SOLO_NO_COOP,8,STREAM,0,0,1,B,NA,NA
J510,J510,9707555,SOLO_NO_COOP,32,STREAM,0,0,1,B,NA,NA
J1529,J3067,9707568,COOP_SUCCESS,1,EDDY,0,1,0,NA,4,NA
J3067,J1529,9707569,REPLACEMENT,0,EDDY,0,1,0,NA,NA,NA
J1529,J1902,9707570,COOP_SUCCESS,1,EDDY,0,1,0,NA,NA,1
J972,J972,9707572,SCROUNGE,2,EDDY,0,1,0,A,NA,NA
J1902,J972,9707572,REPLACEMENT,0,EDDY,0,1,0,NA,NA,NA
J972,J972,9707577,SCROUNGE,2,EDDY,0,1,0,A,NA,NA
J972,J972,9707581,SCROUNGE,2,EDDY,0,1,0,A,NA,NA
J1102,J1102,9707625,SOLO_NO_COOP,10,STREAM,0,0,1,A,NA,NA
J1102,J580,9707650,COOP_FAIL,2,STREAM,1,0,0,NA,7,NA
J580,J580,9707669,SOLO_NO_COOP,7,STREAM,1,0,0,B,NA,NA
J2126,J580,9707669,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J972,J1529,9707679,COOP_FAIL,11,EDDY,1,0,0,NA,3,NA
J3635,J3635,9707681,SOLO_NO_COOP,36,STREAM,1,0,0,A,NA,NA
J580,J580,9707696,SOLO_NO_COOP,17,STREAM,1,0,0,B,NA,NA
J972,J1529,9707707,COOP_FAIL,4,EDDY,1,0,0,NA,NA,12
J580,J1102,9707713,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J3635,J1102,9707717,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J1102,J580,9707722,COOP_FAIL,19,STREAM,1,0,0,NA,5,NA
J972,J972,9707724,SOLO_NO_COOP,34,EDDY,1,0,0,B,NA,NA
J1102,J3588,9707759,COOP_SUCCESS,5,STREAM,1,1,0,NA,NA,1
J972,J1529,9707830,COOP_FAIL,29,EDDY,1,0,0,NA,62,94
J580,J580,9707911,SOLO_NO_COOP,54,STREAM,0,0,1,B,NA,NA
J3566,J580,9707911,REPLACEMENT,0,STREAM,0,0,1,NA,NA,NA
J580,J580,9707965,SOLO_NO_COOP,71,STREAM,0,0,1,B,NA,NA
J2550,J2550,9708038,SOLO_NO_COOP,20,STREAM,0,0,1,A,NA,NA
J2550,J2550,9708079,SOLO_NO_COOP,37,STREAM,0,0,1,B,NA,NA
J3610,J2550,9708124,COOP_SUCCESS,1,STREAM,0,1,0,NA,2,1
J3066,J3066,9708126,SCROUNGE,2,STREAM,0,1,0,A,NA,NA
J2550,J3066,9708126,REPLACEMENT,0,STREAM,0,1,0,NA,NA,NA
J3208,J3208,9708130,SCROUNGE,4,STREAM,0,1,0,B,NA,NA
J3208,J3208,9708137,SCROUNGE,2,STREAM,0,1,0,B,NA,NA
J2550,J2550,9708157,SOLO_NO_COOP,13,STREAM,0,0,1,B,NA,NA
J1317,J1529,9708366,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J2402,J2409,9708724,COOP_SUCCESS,5,STREAM,0,1,0,NA,4,1
J2409,J2402,9708763,COOP_SUCCESS,38,STREAM,0,1,0,NA,14,NA
J2409,J2402,9708808,COOP_SUCCESS,34,STREAM,0,1,0,NA,NA,NA
J2409,J2402,9708843,COOP_SUCCESS,56,STREAM,0,1,0,NA,NA,NA
J2409,J2402,9708905,COOP_SUCCESS,12,STREAM,0,1,0,NA,NA,1
J1902,J1352,9708937,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J1352,J1352,9708937,SOLO_NO_COOP,27,EDDY,0,0,1,A,NA,NA
J1352,J1352,9709329,SOLO_NO_COOP,9,EDDY,0,0,1,A,NA,NA
J1352,J1602,9709338,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J1602,J793,9709436,COOP_SUCCESS,0,EDDY,0,1,0,NA,98,3
J3636,J3636,9709598,SOLO_NO_COOP,12,STREAM,0,0,1,B,NA,NA
J3636,J3636,9709681,SOLO_NO_COOP,6,STREAM,0,0,1,B,NA,NA
J3636,J3636,9709748,SOLO_NO_COOP,7,STREAM,0,0,1,B,NA,NA
J1917,J1917,9709793,SOLO_NO_COOP,7,STREAM,0,0,1,B,NA,NA
J1917,J1917,9709801,SOLO_NO_COOP,15,STREAM,0,0,1,B,NA,NA
J1917,J1917,9709830,SOLO_NO_COOP,11,STREAM,0,0,1,A,NA,NA
J751,J1507,9709862,COOP_FAIL,1,STREAM,1,0,0,NA,4,14
J751,J1507,9709882,COOP_FAIL,3,STREAM,1,0,0,NA,1,6
J1507,J3106,9709986,COOP_SUCCESS,22,STREAM,1,1,0,NA,31,2
J2961,J1507,9710018,REPLACEMENT,0,STREAM,0,0,1,NA,NA,NA
J1507,J1507,9710018,SOLO_NO_COOP,27,STREAM,0,0,1,A,NA,NA
J1317,J3567,9710257,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J3567,J1317,9710421,REPLACEMENT,0,EDDY,0,0,1,NA,NA,NA
J1602,J1602,9710613,SOLO_NO_COOP,25,EDDY,0,0,1,B,NA,NA
J793,J793,9710721,SOLO_NO_COOP,7,EDDY,0,0,1,B,NA,NA
J1352,J1352,9710730,SOLO_NO_COOP,16,EDDY,0,0,1,B,NA,NA
J1352,J1352,9710751,SOLO_NO_COOP,46,EDDY,0,0,1,B,NA,NA
J1352,J1352,9710799,SOLO_NO_COOP,36,EDDY,0,0,1,B,NA,NA
J1352,J1352,9710837,SOLO_NO_COOP,20,EDDY,0,0,1,B,NA,NA
J1915,J1507,9710875,COOP_FAIL,3,STREAM,1,0,0,NA,4,1
J1915,J1915,9710884,SOLO_NO_COOP,23,STREAM,1,0,0,A,NA,NA
J1915,J1507,9710907,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J1507,J1915,9710909,COOP_FAIL,31,STREAM,1,0,0,NA,2,NA
J1507,J1915,9710963,COOP_FAIL,20,STREAM,1,0,0,NA,NA,2
J793,J793,9710979,SOLO_NO_COOP,16,EDDY,0,0,1,B,NA,NA
J1915,J1507,9710985,REPLACEMENT,0,STREAM,1,0,0,NA,NA,NA
J1507,J3585,9710986,COOP_SUCCESS,1,STREAM,1,1,0,NA,1,NA
J3585,J1915,9710989,COOP_FAIL,3,STREAM,1,1,0,NA,NA,4
J3585,J1507,9710992,COOP_SUCCESS,0,STREAM,1,1,0,NA,NA,4
J1915,J1507,9710992,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J3585,J1915,9710992,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J1507,J1915,9710994,COOP_FAIL,2,STREAM,1,1,0,NA,NA,1
J3585,J1507,9710999,COOP_SUCCESS,0,STREAM,1,1,0,NA,NA,5
J3585,J1915,9710999,REPLACEMENT,0,STREAM,1,1,0,NA,NA,NA
J1507,J1915,9711000,COOP_FAIL,2,STREAM,1,1,0,NA,NA,2
